,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Chinese Shar-Pei,"The compact, medium-sized Chinese Shar-Pei is an amalgam of odd physical traits: a broad “hippopotamus” muzzle; a blue-black tongue; small, sunken eyes with a scowling expression; tiny triangular ears; abundant folds of loose skin about the head, neck, and shoulders; the tapered high-set tail—all blanketed by a harsh, sandpapery coat. (A literal translation of Shar-Pei: “sand skin.”)Shar-Pei are strong, regal, independent guardians famous for intelligence and loyalty. They are suspicious of strangers and other dogs. Shar-Pei are serene dogs, but they will meet a perceived threat with tenacity and vigor. Early training and socialization are essential—a dominant adult Shar-Pei without them is a serious problem waiting to happen. This fascinating but challenging breed of ancient pedigree is steadfastly loyal to family, but standoffish with strangers. The Chinese Shar-Pei has physical characteristics that make him a one-of-a-kind companion and guardian dog.","Loyal, Independent, Calm",64,45.72,50.8,20.41165665,27.2155422,8.0,12.0,Non-Sporting Group,0.2,Occasional Bath/Brush,0.8,Regularly,0.6,Regular Exercise,0.2,May be Stubborn,0.4,Reserved with Strangers
Chinook,"Tawny-coated, no-frills Chinooks are muscular and substantial, with males standing as high as 26 inches at the shoulder. Females, with their distinctly feminine look, are a bit smaller. Chinooks were conceived as dual-purpose haulers, with the power of freighting dogs and the speed of sled racers. They are the picture of stouthearted dignity, with a kindly twinkle in their dark, almond eyes.Chinooks are calm, people-oriented dogs with a special feel for children. They are trainable workers who aim to please. Sledding, carting, obedience, agility, search-and-rescue work, and herding are a few pursuits they’ve mastered. Chinooks are not particularly busy dogs, but they need consistent exercise to stay in proper hard condition. The pride of Wonalancet, New Hampshire, the Chinook is a rugged working dog and devoted family pet known for intelligence, patience, and eagerness to please. Once on the verge of extinction, the Chinook is among the scarcest AKC breeds.","Smart, Patient, Devoted",190,55.88,66.04,22.6796185,40.8233133,12.0,15.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1.0,Eager to Please,0.8,Friendly
Chow Chow,"Chows are powerful, compactly built dogs standing as high as 20 inches at the shoulder. Their distinctive traits include a lion’s-mane ruff around the head and shoulders; a blue-black tongue; deep-set almond eyes that add to a scowling, snobbish expression; and a stiff-legged gait. Chows can have rough or smooth coats of red, black, blue, cinnamon, or cream.Owners say Chows are the cleanest of dogs: They housebreak easily, have little doggy odor, and are known to be as fastidious as cats. Well-socialized Chows are never fierce or intractable, but always refined and dignified. They are aloof with strangers and eternally loyal to loved ones. Serene and adaptable, with no special exercise needs, Chows happily take to city life. The Chow Chow, an all-purpose dog of ancient China, presents the picture of a muscular, deep-chested aristocrat with an air of inscrutable timelessness. Dignified, serious-minded, and aloof, the Chow Chow is a breed of unique delights.","Dignified, Bright, Serious-Minded",75,43.18,50.8,20.41165665,31.751465900000003,8.0,12.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,0.4,Reserved with Strangers
Cirneco dell’Etna,"Standing under 20 inches, the Cirneco (“cheer-NEK-o”; Cirnechi is the plural) is often described as resembling a smaller version of the Pharaoh Hound, its cousin from the island of Malta. This slender but rugged hunter’s coat ranges from light to dark tan or chestnut. The large, upright ears point up the alert expression of the eyes, whose amber or ochre color smartly complements the coat.In many ways, these lithe and leggy Sicilians are typical sighthounds: sweet-natured, independent and, of course, breathtakingly swift. It is said, though, that Cirnechi are a bit more trainable than the usual sighthound. These living artifacts of antiquity have sprinted into the 21st century relatively unchanged by passing fads and fancies. The sleek and sinewy Cirneco dell’Etna, the ancient coursing hound of Sicily, is an athletic hunter given to quick bursts of speed. As housedogs, Cirnechi are mild, low-maintenance companions cherished for their loyal and gentle nature.","Affectionate, Friendly, Independent",183,41.910000000000004,49.53,7.71107029,11.793401620000001,12.0,14.0,Hound Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
Clumber Spaniel,"Clumber Spaniels are powerful bird dogs of heavy bone, built long and low, with a massive head. They stand 17 to 20 inches; a small female might be 55 pounds, and a large male could go 85 pounds. Built to push through thick cover in the field, Clumber movement is nonetheless free and easy. The dense coat is primarily white, with sparse lemon or orange markings.Clumbers are sweet and easygoing at home, but these outdoorsy fellows can be relentless on scent. Smart and eager-to-please Clumbers respond well to training. Though a bit wary around strangers, Clumbers are friendly dogs who bark only when they have something to say, and so make indifferent watchdogs. They love swimming and fetching, and are sturdy childhood playmates. A dignified and mellow hunting companion of kings, the Clumber Spaniel is the largest of the AKC flushing spaniels. For those who can handle some shedding and drooling, the amiable Clumber is an amusing best friend and a gentlemanly housemate.","Mellow, Amusing, Gentlemanly",143,43.18,50.8,24.947580350000003,38.55535145,10.0,12.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers
Cocker Spaniel,"Those big, dark eyes; that sweet expression; those long, lush ears that practically demand to be touched—no wonder the Cocker spent years as America’s most popular breed. The Cocker is the AKC’s smallest sporting spaniel, standing about 14 to 15 inches. The coat comes in enough colors and patterns to please any taste. The well-balanced body is sturdy and solid, and these quick, durable gundogs move with a smooth, easy gait.Cockers are eager playmates for kids and are easily trained as companions and athletes. They are big enough to be sporty, but compact enough to be portable. A Cocker in full coat rewards extra grooming time by being the prettiest dog on the block. These energetic sporting dogs love playtime and brisk walks. The merry and frolicsome Cocker Spaniel, with his big, dreamy eyes and impish personality, is one of the world’s best-loved breeds. They were developed as hunting dogs, but Cockers gained their wide popularity as all-around companions.","Gentle, Smart, Happy",30,34.29,39.37,9.071847400000001,13.6077711,10.0,14.0,Sporting Group,0.8,Daily Brushing,0.4,Occasional,0.6,Regular Exercise,1.0,Eager to Please,1.0,Outgoing
Collie,"The Collie is a large but lithe herder standing anywhere from 22 to 26 inches tall. The rough variety boasts one of the canine kingdom’s most impressively showy coats; the smooth coat’s charms are subtler but no less satisfying. Coat colors in both varieties are sable and white, tricolor, blue merle, or white. Collie fanciers take pride in their breed’s elegant wedge-shaped head, whose mobile ears and almond eyes convey a wide variety of expressions.Collies are famously fond of children and make wonderful family pets. These swift, athletic dogs thrive on companionship and regular exercise. With gentle training, they learn happily and rapidly. The Collie’s loyalty, intelligence, and sterling character are the stuff of legend. The majestic Collie, thanks to a hundred years as a pop-culture star, is among the world’s most recognizable and beloved dog breeds. The full-coated “rough” Collie is the more familiar variety, but there is also a sleek “smooth” Collie.","Devoted, Graceful, Proud",38,55.88,66.04,22.6796185,34.01942775,12.0,14.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly
Coton de Tulear,"The Coton de Tulear (KO-Tone Dih TOO-Lay-ARE) is a small, immensely charming dog standing between 9 and 11 inches high and weighing anywhere from 8 to 13 pounds. Cotons are known for a profuse white coat that is as soft as cotton (or, as the French say, “coton”). Their primary job is to provide amusement, comfort, and companionship.The bond between Cotons and their people is so tight that owners discuss it in human terms. Coton fanciers describe them as “witty” companions “at times boisterous but never demanding” and “naturally clownish and lighthearted,” who possess a “remarkably gentle, sympathetic awareness.” Amusing traits of these long-lived jesters include unique vocalizations and a knack for walking on their hind legs. The Coton de Tulear, “Royal Dog of Madagascar,” is a bright, happy-go-lucky companion dog whose favorite activities include clowning, cavorting, and following their special human around the house. The Coton is small but robustly sturdy.","Charming, Bright, Happy-Go-Lucky",81,22.86,27.94,3.62873896,6.80388555,15.0,19.0,Non-Sporting Group,0.8,Daily Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,1.0,Outgoing
Croatian Sheepdog,"Petar Horvat, the bishop of Djakovo, wrote in 1374 that Croats had brought a shepherd dog along on the move to their new land. He referred to the dog as Canis Pastoralis Croaticus—the Croatian Shepherd Dog.The bishop of Djakovo, Peter Bakic also wrote about the Croatian Sheepdog in his 1719 manuscript “On the Life of the People and Raising of Stock in Djakovo and it’s Surroundings in 1719”. He quoted the words written by Bishop Petar in 1374 and, providing his own description of the dog, stated that the Croatian Sheepdog had not changed since the record (from 1374 to 1719) and had not changed in appearance from that described by Bishop Petar in 1374.A systematic selection breeding program was started by the “father of the breed” – veterinarian Prof Dr Stjepan Romic in 1935 with dogs in the territory of Djakovo.  After 34 years of work, the breed was recognized by the FCI in 1969. The Croatian Sheepdog is an agile, helpful and humble shepherd dog, self-reliant to his owner, brave and trustworthy. He is the true master of his flock, often running through the back of the herd to get to the point of intervention as soon as possible.","Loyal, Active, Alert and Intelligent",,40.64,50.8,13.15417873,19.958064280000002,13.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,1.0,Needs Lots of Activity,1.0,Eager to Please,0.4,Reserved with Strangers
Curly-Coated Retriever,"The Curly-Coated Retriever’s tight, crisp curls of either black or liver serve as waterproof and thorn-resistant all-weather gear for work in thick bramble and icy lakes. The Curly is a big, durable gun dog, but more elegant and graceful than other retrievers. Another trait that sets Curlies apart from the usual retriever is a tapered, wedge-shaped head.Like Labradors and Goldens, Curlies are affectionate and gentle, but they are a bit more independent and less needy. Playful and mischievous with loved ones, Curlies can be aloof with strangers. This wariness makes them more discerning watchdogs than other, more gregarious retrievers. These tireless dogs need lots of outdoor exercise. Bored, underemployed Curlies are a handful. The Curly-Coated Retriever, among the oldest of the retriever breeds, is a famously versatile gundog and peerless swimmer. Poised, proud, and wickedly smart, the Curly is a thinking person’s retriever who will never quit before you do.","Confident, Proud, Wickedly Smart",162,58.42,68.58,27.2155422,43.09127515,10.0,12.0,Sporting Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
Czechoslovakian Vlcak,"The Czechoslovakian Vlcak (CSV) was originally bred for working border patrol in Czechoslovakia in the 1950s. They are currently used in Europe and the United States for search and rescue, tracking, obedience, agility, drafting, herding, and working dog sports. The CSV is bred for versatility and hardiness in harsh elements and is much more independent in nature than many other working breeds. They are an excellent choice for tracking or trailing sport/work, or as a companion for active owners who enjoy spending time doing outdoor activities such as biking, running, or hiking. They are not, however, recommended for first time owners.Club Contact DetailsClub:  Czechoslovakian Vlcak Club of AmericaName: Stacy McCrary, PresidentEmail: vlcaksusa@gmail.com An alert, primitive canine that resembles a wolf in appearance. They are highly intelligent, powerful, active, loyal and devoted to it’s owner. They have superior eyesight, hearing and sense of smell and are known for having excellent stamina and endurance.","Loyal, Intelligent, Active",,59.69,64.77,19.958064280000002,25.85476509,10.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,1.0,Frequent,1.0,Needs Lots of Activity,0.2,May be Stubborn,0.2,Aloof/Wary
Dachshund,"The word “icon” is terribly overworked, but the Dachshund—with his unmistakable long-backed body, little legs, and big personality—is truly an icon of purebred dogdom. Dachshunds can be standard-sized (usually 16 to 32 pounds) or miniature (11 pounds or under), and come in one of three coat types: smooth, wirehaired, or longhaired.Dachshunds aren’t built for distance running, leaping, or strenuous swimming, but otherwise these tireless hounds are game for anything. Smart and vigilant, with a big-dog bark, they make fine watchdogs. Bred to be an independent hunter of dangerous prey, they can be brave to the point of rashness, and a bit stubborn, but their endearing nature and unique look has won millions of hearts the world over. The famously long, low silhouette, ever-alert expression, and bold, vivacious personality of the Dachshund have made him a superstar of the canine kingdom. Dachshunds come in two sizes and in three coat types of various colors and patterns.","Friendly, Curious, Spunky",12,12.7,22.86,4.9895160700000005,14.51495584,12.0,16.0,Hound Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
Dalmatian,"The Dalmatian’s delightful, eye-catching spots of black or liver adorn one of the most distinctive coats in the animal kingdom. Beneath the spots is a graceful, elegantly proportioned trotting dog standing between 19 and 23 inches at the shoulder. Dals are muscular, built to go the distance; the powerful hindquarters provide the drive behind the smooth, effortless gait.The Dal was originally bred to guard horses and coaches, and some of the old protective instinct remains. Reserved and dignified, Dals can be aloof with strangers and are dependable watchdogs. With their preferred humans, Dals are bright, loyal, and loving house dogs. They are strong, active athletes with great stamina—a wonderful partner for runners and hikers. The dignified Dalmatian, dogdom's citizen of the world, is famed for his spotted coat and unique job description. During their long history, these ""coach dogs"" have accompanied the horse-drawn rigs of nobles, gypsies, and firefighters.","Dignified, Smart, Outgoing",56,48.26,60.96,20.41165665,31.751465900000003,11.0,13.0,Non-Sporting Group,0.4,Weekly Brushing,1.0,Frequent,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
Dandie Dinmont Terrier,"Physical hallmarks of the Dandie Dinmont Terrier include a large head covered with profuse, silky white hair; long, hanging ears tipped with feathering and coming almost to a point; big, round eyes full of brightness and expression; and a long, low torso and short legs. The crisp body coat comes in two spicy colors: pepper (bluish black to silvery gray) and mustard (reddish brown to pale fawn).Weighing no more than 24 pounds, Dandies are alert and intelligent watchdogs with a big baritone bark. Dandies enjoy romping and cuddling with kids, but aren’t as hyper as some small dogs. They are terriers, though, with typical willfulness, independence, and courage. Dandie owners get best results with positive, motivational training. The unique-looking Dandie Dinmont Terrier is a tough but dignified little exterminator. Sturdily built for the rigors of farm life, they will agreeably adapt to city living. Dandies are compact companions blessed with a big personality.","Independent, Smart, Proud",176,20.32,27.94,8.164662660000001,10.886216880000001,12.0,15.0,Terrier Group,0.8,Daily Brushing,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Danish-Swedish Farmdog,"This breed entered the American Kennel Club Foundation Stock Services Program (AKC FSS) in 2011. They are eligible to compete in Agility, Barn Hunt, Flyball, Herding, Lure Coursing, Nosework, Obedience and Rally, Tracking and AKC FSS Open Shows. Club Contact DetailsClub: Danish/Swedish Farmdog Club of America, IncName: Dorothy Herman, AKC LiaisonEmail: Info@Farmdogs.org Known as the Little Big Dog, the Danish-Swedish Farmdog is a companion dog that loves to work and enjoys a challenge. They are a small, compact and slightly rectangular dog, known to mature late.","Energetic, Trainable, Attentive",,31.75,36.83,6.80388555,9.071847400000001,11.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,,,,
Deutscher Wachtelhund,"The Deutscher Wachtelhund is a medium-sized, longhaired, very muscular gun dog with a noble head and strong bone. Their keen hunting desire and ability make it an ideal dog for hunters and because of their innate love of water, they are often used to hunt waterfowl. The Deutscher Wachtelhund’s name, German quail dog, relates to its ability as an upland bird flusher and is also known as the German Spaniel. Club Contact DetailsName: Bill Wright, Boulder Brook KennelAddress: PO Box 1, Markham, VA 22643Email: jwwiii@hotmail.com The Deutscher Wachtelhund has a scenting and blood tracking ability comparable to a Bloodhound and can track 40-hour-old wounded game. On a fresh game trail, it must vocalize to inform hunters of its location. They are a versatile breed, virtually unknown to the German non-hunting public, and is only owned by hunters, gamekeepers and professional hunters in Germany.","Friendly, Versatile, Determined",,45.72,53.34,18.143694800000002,24.947580350000003,12.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,,,0.6,Regular Exercise,,,,
Doberman Pinscher,"Dobermans are compactly-built dogs—muscular, fast, and powerful—standing between 24 to 28 inches at the shoulder. The body is sleek but substantial, and is covered with a glistening coat of black, blue, red, or fawn, with rust markings. These elegant qualities, combined with a noble, wedge-shaped head and an easy, athletic way of moving have earned Dobermans a reputation as royalty in the canine kingdom. A well-conditioned Doberman on patrol will deter all but the most foolish intruder. Sleek and powerful, possessing both a magnificent physique and keen intelligence, the Doberman Pinscher is one of dogkind's noblemen. This incomparably fearless and vigilant breed stands proudly among the world's finest protection dogs.","Loyal, Fearless, Alert",17,60.96,71.12,27.2155422,45.359237,10.0,12.0,Working Group,0.2,Occasional Bath/Brush,0.8,Regularly,1.0,Needs Lots of Activity,1.0,Eager to Please,0.6,Alert/Responsive
Dogo Argentino,"The ideal Dogo Argentino is a study in harmony. He is large, powerful, and athletic. His strong head is supported by a thick, but elegant neck that connects to a balanced body, which is sustained by straight, substantial forelegs and very muscular, medium-angulated hindquarters. The Dogo gives the impression of explosive power and energy. Developed to find, chase and catch dangerous game the Dogo must have a good nose, great lung capacity, and a powerful, yet agile, muscular build. His expression is alert and intelligent, with a marked hardness. The Dogo is instantly identifiable by his short, completely white coat. The Dogo Argentino is a pack-hunting dog, bred for the pursuit of big-game such as wild boar and puma, and possesses the strength, intelligence and quick responsiveness of a serious athlete. His short, plain and smooth coat is completely white, but a dark patch near the eye is permitted as long as it doesn't cover more than 10% of the head.","Friendly, Cheerful, Humble",of,60.96,67.31,39.916128560000004,45.359237,9.0,15.0,Working Group,0.2,Occasional Bath/Brush,0.2,Infrequent,1.0,Needs Lots of Activity,,,,
Dogue de Bordeaux,"The Dogue de Bordeaux is an immensely powerful mastiff-type guardian. Males can go 27 inches high and 110 pounds. The short, eye-catching coat is a richly colored fawn. The massive head features a Bulldog-like undershot jaw, expressive eyes, and a deeply furrowed brow. It is, proportionately, the largest head in the canine kingdom. The body is stocky and close to the ground, but Dogues can move like lions when duty calls.DDBs of proper temperament are sweet and sensitive souls. Owners appreciate their breed’s loyalty to loved ones of all ages, but also say DDBs can be stubborn and will dominate those who fail to apply firm training in puppyhood. When acquiring such a strapping super-dog, finding a responsible breeder is key. The most ancient of French dog breeds, the Dogue de Bordeaux (“Mastiff of Bordeaux”) was around even before France was France. These brawny fawn-coated guardians of considerable courage are famously loyal, affectionate, and protective.","Affectionate, Loyal, Courageous",67,58.42,66.04,44.905644630000005,49.895160700000005,5.0,8.0,Working Group,0.2,Occasional Bath/Brush,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
Drentsche Patrijshond,"The Drent is “par excellence” for hunting a variety of game on diverse terrain. He is known for keeping in touch with the hunter; when on point, while awaiting the hunter, the dog will often look back at his hunting partner if it takes a long time to wait. His adaptability makes him suitable for all manner of game in the field as well as in the water. The Drent is also known to be a good retriever. Due to the Drent’s soft nature, forceful training methods are inappropriate. The dog is expected to bark to announce visitors to the home, and is often reserved towards strangers until welcomed. He is loyal, intelligent and a pet of exceptional value on top of being a good hunting buddy. Club Contact DetailsClub: Drentsche Patrijshond Club of North AmericaName: Brian O’ConnorEmail: dpcna.gundogs@gmail.comPhone: 208-590-0027 This breed is pronounced da'rinse-ah puh'trice-hoon. The Drentsche Patrijshond, Drent for short, is not your typical continental pointer. For starters, the Drent has a tail and is nearly four hundred years old. The Drent was built by farmers for farmers. As a farm dog, Drents had to do it all: hunt feather and fur, keep the farm clear of vermin, cart dairy to the market and much more. The breed has maintained versatility from the beginning and are highly intelligent and adaptable. As such, training must be kept lively and interesting. Drents are used in all types of hunting, agility, tracking, dog sledding, and skijoring.","Loyal, Intelligent, Sensitive",,53.34,63.5,21.772433760000002,33.11224301,11.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,0.8,Energetic,0.6,Agreeable,0.4,Reserved with Strangers
Drever,"The Drever was developed in the early twentieth century in Sweden. Hunting deer was difficult due to terrain and herd locations so hunters soon realized the benefits of using this short-legged, long-bodied dog to drive the deer over long distances and rough terrain right to them. A keen and even-tempered hound, the Drever is never aggressive, nervous or shy. They are content in most living situations, but tend to be vocal when alerting or at play. The Drever is robust and strong rather than elegant and speedy. They have a proud carriage, well-developed muscles and agile appearance. Affectionate, playful, and sweet, the Drever gets along well with most other breeds and is great in groups.","Loyal, Even-Tempered, Determined",,30.48,38.1,15.875732950000002,18.143694800000002,15.0,15.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.2,May be Stubborn,0.6,Alert/Responsive
Dutch Shepherd,"The Dutch Shepherd was discovered as a naturally occurring shepherd’s dog living in rural areas. It was developed as an all-purpose farm dog, working originally as a farm guard, drover, and livestock dog. A well known dog fancier wrote about the Dutch Shepherd in 1910: “…bearing a great resemblance to the wolf.” Of course this is not entirely true, but it is another aspect that shows that the Dutch Shepherd still has many of the characteristics of its wild forebears. Although it is not a widely known breed, the Dutch Shepherd is a loyal companion and competent working dog used for obedience, dog sports, herding, tracking, search and rescue, and as a police dog. The Dutch Shepherd is a lively, athletic, alert and intelligent breed, and has retained its herding instinct for which it was originally developed. Having an independent nature, it can be slightly obstinate and have a mind of its own. Since its original duties were to keep flocks of sheep in a particular location, it is able to run all day, and that is reflected in its physique and structure.","Intelligent, Lively, Athletic",,54.61,62.230000000000004,19.05087954,34.01942775,11.0,14.0,Miscellaneous Class,0.4,Weekly Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,0.6,Agreeable,0.6,Alert/Responsive
English Cocker Spaniel,"The English Cocker Spaniel is a compactly built sporting dog standing between 15 to 17 inches at the shoulder. The softly contoured head, with its dark, melting eyes that convey an alert and dignified expression, is framed by lush, close-lying ears. The medium-length coat, seen in a variety of striking colors and patterns, is silky to the touch. “Balance” is a key word in understanding the breed: The EC is balanced in temperament, construction, and movement.Beneath the EC’s physical beauty beats the heart of a tireless, eager-to-please hunter’s helper, famous the world over for his ability to flush and retrieve gamebirds. For those who prefer more domestic pursuits, there is no more charming and agreeable household companion. English Cocker Spaniel lovers often use the word “merry” to describe their breed. Upbeat in the field and mellow at home, this compact, silky-coated bird dog is widely admired for his delightful personality and irresistible good looks.","Energetic, Merry, Responsive",52,38.1,43.18,11.793401620000001,15.42214058,12.0,14.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly
English Foxhound,"The English Foxhound is the epitome of what serious dog breeders strive for: beauty, balance, and utility. “Next to an old Greek statue,” a poet wrote, “there are few such combinations of grace and strength as in a fine Foxhound.”These pack-oriented, scent-driven hounds are gentle and sociable, but rarely seen as house pets. They can be so driven by a primal instinct for pursuit that not much else, including training, matters to them. Owning these noble creatures is best left to huntsmen who kennel packs of hounds or to those experienced in meeting the special challenges of life with swift, powerful hounds hardwired for the chase. The English Foxhound is a substantial galloping hound of great stamina. His long legs are straight as a gatepost, and just as sturdy. The back is perfectly level. And the chest is very deep, “girthing” as much as 31 inches on a hound measuring 24 inches at the shoulder, ensuring plenty of lung power for a grueling day’s hunt.","Affectionate, Gentle, Sociable",188,60.96,60.96,27.2155422,34.01942775,10.0,13.0,Hound Group,0.2,Occasional Bath/Brush,0.8,Regularly,0.8,Energetic,0.6,Agreeable,0.8,Friendly
English Setter,"English Setters are elegant but solid dogs of beauty and charm. The word “belton,” unique to the breed, describes the speckled coat patterns of colors that sound good enough to eat: liver, lemon, and orange among them. Under the showy coat is a well-balanced hunter standing about 25 inches at the shoulder.A graceful neck carries a long, oval-shaped head proudly, and dark brown eyes convey a soft expression. The merry English Setter is known as the gentleman of the dog world but is game and boisterous at play. English Setters get on well with other dogs and people. A veteran all-breed dog handler says, “As a breed to share one’s life and living space with, no other breed gives me more pleasure than the English Setter.” The English Setter is a medium-sized sporting dog of sweet temper and show-stopping good looks. It is one of the AKC’s four British setters created to work on the distinctly different terrains of England, Ireland, and Scotland.","Friendly, Mellow, Merry",94,58.42,68.58,20.41165665,36.287389600000004,12.0,12.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.8,Regularly,0.8,Energetic,0.8,Easy Training,0.8,Friendly
English Springer Spaniel,"Built for long days in the field, English Springer Spaniels are tough, muscular hunters standing 19 to 20 inches at the shoulder and weighing between 40 and 50 pounds. The double coat comes in several colors and patterns, the ears are long and lush, and the kindly, trusting expression of the eyes is a cherished hallmark of the breed. Springers move with a smooth, ground-covering stride.Bred to work closely with humans, Springers are highly trainable people-pleasers. They crave company and are miserable when neglected.Polite dogs, Springers are good with kids and their fellow mammals. They are eager to join in any family activity. Long walks, games of chase and fetch, and swimming are favorite pastimes of these rugged spaniels. The English Springer Spaniel is a sweet-faced, lovable bird dog of great energy, stamina, and brains. Sport hunters cherish the duality of working Springers: handsome, mannerly pets during the week, and trusty hunting buddies on weekends.","Friendly, Playful, Obedient",27,48.26,50.8,18.143694800000002,22.6796185,12.0,14.0,Sporting Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly
English Toy Spaniel,"The ETS is a square, snub-nosed toy weighing no more than 14 pounds. The large domed head—with its long and lush ears, dark melting eyes, and chubby cheeks—is a famous breed trait. The profuse coat comes in four varieties, each with its own proper name: red and white (Blenheim); black and tan (King Charles); white, black, and tan (Prince Charles); and a solid red (Ruby). Blenheims often have a red mark, the “Blenheim Spot,” on top of the head.The ETS, like many toy breeds kept by royals, came to assume the personalities of their aristocratic owners. They can be proud and willful, and extremely discriminating in their choice of friends. With their favored humans, they are affectionate at home and exuberant and curious at play. The merry English Toy Spaniel was bred to be the companion of kings. But ETS are spaniels first and pampered lapdogs second, and beneath the patrician exterior beats the heart of a real doggy dog—bright, loving, and willing to please.","Gentle, Playful, Intelligent",135,22.86,25.4,3.62873896,6.35029318,10.0,12.0,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
Entlebucher Mountain Dog,"Entlebucher (ENT-leh-boo-cur) Mountain Dogs are muscular, long-backed cattle dogs standing from 16 to 21 inches at the shoulder. They have short, sturdy legs; a striking black, white, and tan coat; and an attentive, friendly face. Entles are famous for their agility, balance, and boundless enthusiasm.Entles are vigilant protectors of their four- or two-legged “herds” and, when properly socialized, make durable and trustworthy playmates for older kids. Energetic Entles require lots of exercise, family time, and direction to reach their full potential. Inexperienced owners might be overwhelmed by this strong, self-confident, go-go herding dog eager for work.Entlebuchers are fine dogs—clever, zesty, happy—but not for everyone. The Entlebucher Mountain Dog, tricolor “Laughing Dog” of the Swiss Alps, is a rugged and determined mover of cattle. These spirited, energetic workers and athletes are independent problem solvers and are happiest with a job to perform.","Loyal, Smart, Enthusiastic",157,40.64,53.34,18.143694800000002,29.48350405,11.0,13.0,Herding Group,0.2,Occasional Bath/Brush,0.2,Infrequent,1.0,Needs Lots of Activity,0.4,Independent,0.4,Reserved with Strangers
Estrela Mountain Dog,"The Estrela Mountain Dog is named for the Estrela Mountains in Portugal and is believed to be the oldest breed in the region. The breed has several distinctive physical characteristics including rosed ears, a black mask and a hook at the end of its tail. He is an inseparable companion of the shepherd and a faithful flock guardian, bravely protecting it against predators and thieves. A wonderful farm and house guard, he is distrustful towards strangers but typically docile to his master.As a companion in the home, an Estrela will bond for life. He will love and protect his whole family, but a piece of his soul will belong to that one special family member of his choosing. As an Estrela owner tells us: “There is nothing compared to the love of an Estrela.” Breed Contact DetailsWebsite: www.mistymountainestrelas.comPhone: 704-385-9928Person: Robin Eatman The Estrela Mountain Dog is not only an excellent livestock guardian, but is also known for his love of children and family. Proper socialization and training as a puppy is very important so that the dominance in the Estrela's personality does not become aggressive.","Alert, Intelligent, Brave",,62.230000000000004,73.66,34.926612490000004,59.874192840000006,10.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.4,Calm,,,,
Eurasier,"The Eurasier comes in a beautiful array of colors. All coat colors are permitted as per the breed standard except for liver color, pure white and irregular white patches. Eurasiers can have purple tongues, pink tongues or spotted tongues. They can also have dark face masks or light, so-called reverse masks. Eurasiers are calm, even-tempered, gentle, loving, intelligent and confident. Club Contact DetailsClub: United States Eurasier ClubName: Wendy SchuylerEmail: USEurasierClub@gmail.com The Eurasier is a medium-sized dog with a thick, medium-long coat that can come in a variety of colors. Confident, calm, and well-balanced, he is loyal to the entire family, but reserved towards strangers. He must live in close contact with his family, as he is not suited to be kept in kennels or tied up outside.","Confident, Calm, Family-Oriented",,48.26,60.96,18.143694800000002,31.751465900000003,12.0,16.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers
